N,K,Samples,Avg Runtime,Max Runtime,Total Runtime,Std Dev,Makespan
32,10,8,0.000571375,0.003321,0.004571,0.0010489785,24
32,10,4,0.000484,0.001514,0.001936,0.00059591903,28
38,12,4,0.000508,0.001928,0.002032,0.0008198424,30
32,10,6,0.00026366668,0.001357,0.001582,0.0004895384,33
32,10,6,0.000040833333,0.000078,0.000245,0.000017449132,35
26,8,2,0.000845,0.001527,0.00169,0.000682,60
20,6,2,0.0000945,0.000153,0.000189,0.0000585,75
38,12,8,0.00105825,0.005954,0.008466,0.0019031987,72
38,12,10,0.0001068,0.000324,0.001068,0.00010867824,69
50,16,10,0.0001263,0.000328,0.001263,0.00011343637,63
62,20,10,0.0005242,0.003825,0.005242,0.001125491,74
62,20,16,0.010743875,0.158082,0.171902,0.03814661,85
50,16,8,0.000614375,0.00331,0.004915,0.0010459222,134
56,18,18,0.00052694447,0.00824,0.009485,0.0018720534,106
38,12,10,0.000052,0.000159,0.00052,0.00003651849,152
50,16,13,0.0005903846,0.006125,0.007675,0.0016062676,105
74,24,18,0.00095816667,0.008897,0.017247,0.0023037242,88
74,24,8,0.00082,0.004188,0.00656,0.0014362144,109
86,28,9,0.0003547778,0.001369,0.003193,0.0004166434,89
74,24,16,0.0016473125,0.00995,0.026357,0.002956077,185
62,20,24,0.0006153333,0.009456,0.014768,0.0018720865,143
92,30,20,0.00054695,0.008301,0.010939,0.0017906119,140
92,30,22,0.0007585455,0.009544,0.016688,0.0020574143,160
92,30,16,0.0002938125,0.001784,0.004701,0.00046450863,167
98,32,20,0.0003399,0.00145,0.006798,0.00042225464,156
110,36,16,0.0052931877,0.030559,0.084691,0.0092514185,182
122,40,22,0.0007374091,0.010045,0.016223,0.002104931,147
122,40,42,0.0021507381,0.030226,0.090331,0.0056574056,168
98,32,54,0.00033468517,0.007043,0.018073,0.0011209443,191
170,56,26,0.0013374615,0.009095,0.034774,0.002785339,172
182,60,36,0.0012345278,0.012111,0.044443,0.0027931042,253
182,60,34,0.0008259706,0.008067,0.028083,0.0019998958,260
146,48,32,0.00077803124,0.0082,0.024897,0.0019570808,170
182,60,33,0.00027272728,0.006072,0.009,0.0010258474,231
218,72,66,0.00017380303,0.00326,0.011471,0.00042535385,244
182,60,95,0.0002902,0.008158,0.027569,0.001016608,210
