N,K,Samples,Avg Runtime,Max Runtime,Total Runtime,Std Dev,Makespan,I,J
13,2,1,0.015439,0.015439,0.015439,0.0,29,1,1
23,4,2,0.8162765,1.632524,1.632553,0.8162475,23,1,2
33,6,2,0.000993,0.001944,0.001986,0.000951,29,1,3
21,4,2,0.001789,0.003391,0.003578,0.001602,41,2,1
53,10,3,0.010417333,0.030985,0.031252,0.014543802,33,1,5
43,8,1,0.017666,0.017666,0.017666,0.0,39,1,4
41,8,3,0.006127,0.017863,0.018381,0.008300293,50,2,2
73,14,2,0.000817,0.001634,0.001634,0.000817,31,1,7
63,12,1,0.053195,0.053195,0.053195,0.0,37,1,6
29,6,2,0.0727335,0.080241,0.145467,0.0075075,71,3,1
37,8,3,0.04177,0.123731,0.12531,0.057956506,102,4,1
61,12,3,0.09382667,0.187555,0.28148,0.06638226,79,2,3
83,16,2,0.4759455,0.795284,0.951891,0.3193385,39,1,8
59,12,5,0.0376498,0.098975,0.188249,0.037334524,87,3,2
81,16,3,0.096151,0.28837,0.288453,0.13591936,76,2,4
45,10,5,0.007437,0.030422,0.037185,0.011691946,157,5,1
53,12,3,0.146905,0.440316,0.440715,0.20747295,171,6,1
77,16,4,0.44358525,1.679404,1.774341,0.7144868,143,4,2
89,18,4,0.6454672,0.9907,2.581869,0.25486857,139,3,3
101,20,3,0.102335334,0.305626,0.307006,0.14374858,106,2,5
61,14,3,0.09261166,0.274792,0.277835,0.12882456,230,7,1
69,16,3,0.13910367,0.394044,0.417311,0.18051827,224,8,1
95,20,4,0.24309126,0.866445,0.972365,0.36237687,151,5,2
121,24,3,0.674943,0.766295,2.024829,0.06475991,102,2,6
113,24,3,0.17077966,0.388544,0.512339,0.16204959,188,6,2
141,28,6,0.6720542,1.00741,4.032325,0.24717864,85,2,7
119,24,3,0.14050667,0.42068,0.42152,0.19811256,142,3,4
149,30,5,0.4056098,1.115455,2.028049,0.41442174,151,3,5
117,24,5,0.3294906,0.644343,1.647453,0.2689433,126,4,3
161,32,5,0.6047262,1.021639,3.023631,0.4665688,94,2,8
145,30,3,0.42324367,1.139145,1.269731,0.50817305,209,5,3
157,32,1,0.752534,0.752534,0.752534,0.0,162,4,4
149,32,7,0.14807743,1.011182,1.036542,0.3524083,266,8,2
173,36,3,0.211755,0.634978,0.635265,0.29926386,228,6,3
131,28,4,0.19436476,0.45016,0.777459,0.19904041,244,7,2
195,40,6,1.217444,2.445223,7.304664,0.9334981,183,5,4
179,36,4,0.68612975,1.697507,2.744519,0.723584,141,3,6
197,40,3,0.64579636,1.924097,1.937389,0.90390414,204,4,5
201,42,3,0.44730467,1.341146,1.341914,0.63204134,248,7,3
237,48,4,0.77458,1.617409,3.09832,0.77557594,188,4,6
209,42,3,0.304369,0.902196,0.913107,0.42274988,143,3,7
245,50,3,0.5220373,1.503022,1.566112,0.69413745,229,5,5
277,56,3,0.747103,2.235463,2.241309,1.052432,186,4,7
271,56,5,0.4235782,2.096281,2.117891,0.8363903,327,7,4
293,60,4,1.053573,2.316021,4.214292,1.0468408,265,6,5
295,60,4,0.998939,2.178422,3.995756,1.003749,224,5,6
317,64,5,1.3344108,2.374885,6.672054,1.0914668,212,4,8
345,70,3,0.941717,2.819646,2.825151,1.3278978,229,5,7
353,72,3,0.91801035,2.751304,2.754031,1.2963347,302,6,6
309,64,5,1.6982538,2.001011,8.491269,0.18854569,368,8,4
341,70,4,0.96218777,1.996792,3.848751,0.92118615,316,7,5
389,80,5,0.4911552,2.421374,2.455776,0.9651491,364,8,5
411,84,4,1.3991592,3.086025,5.596637,1.4131681,363,7,6
395,80,1,2.341784,2.341784,2.341784,0.0,241,5,8
469,96,3,1.236564,3.709562,3.709692,1.7486737,412,8,6
473,96,3,1.0779803,3.222181,3.233941,1.5161788,314,6,8
549,112,5,0.2946458,1.457249,1.473229,0.58131105,435,8,7
481,98,3,0.639404,1.912825,1.918212,0.9004454,376,7,7
629,128,1,1.446392,1.446392,1.446392,0.0,408,8,8
551,112,8,0.8268845,1.161251,6.615076,0.14897722,372,7,8
